epoch,open,high,low,close
1783301340,63667.429,63715.374,63663.343,63708.76
1783301400,63709.0,63710.59,63662.008,63697.298
1783301460,63696.939,63767.072,63696.939,63767.072
1783301520,63773.897,63861.848,63766.373,63838.795
1783301580,63829.091,63829.091,63775.394,63799.852
1783301640,63799.811,63892.767,63799.773,63883.143
1783301700,63883.213,63894.994,63830.676,63831.917
1783301760,63827.477,63849.953,63820.471,63839.955
1783301820,63845.791,63862.874,63826.36,63840.224
1783301880,63840.332,63849.722,63772.133,63772.133
1783301940,63771.955,63771.955,63748.418,63770.774
1783302000,63770.791,63770.859,63727.979,63753.475
1783302060,63753.475,63775.035,63743.747,63761.338
1783302120,63761.797,63761.797,63700.267,63722.855
1783302180,63723.905,63737.719,63719.168,63729.154
1783302240,63729.101,63729.101,63691.984,63691.984
1783302300,63690.33,63690.33,63629.02,63660.201
1783302360,63663.644,63680.115,63647.868,63652.385
1783302420,63652.743,63671.015,63625.945,63626.163
1783302480,63626.009,63626.009,63572.037,63572.288
1783302540,63572.132,63589.348,63556.401,63589.348
1783302600,63589.479,63595.705,63569.223,63569.515
1783302660,63569.509,63590.984,63559.669,63587.382
1783302720,63584.514,63584.514,63549.774,63549.774
1783302780,63549.773,63569.645,63549.773,63555.815
1783302840,63551.858,63566.371,63550.108,63554.816
1783302900,63554.828,63554.828,63519.842,63545.205
1783302960,63546.871,63573.728,63545.597,63571.305
1783303020,63569.913,63584.239,63546.328,63573.973
1783303080,63573.119,63573.119,63535.197,63538.56
1783303140,63538.555,63551.077,63536.305,63543.918
1783303200,63543.917,63586.806,63543.841,63571.41
1783303260,63571.94,63617.941,63571.94,63597.342
1783303320,63597.268,63633.894,63571.453,63633.894
1783303380,63638.299,63639.176,63606.31,63638.699
1783303440,63640.1,63644.741,63583.686,63606.859
1783303500,63606.485,63606.485,63543.827,63553.657
1783303560,63553.44,63553.786,63530.57,63539.462
1783303620,63539.324,63549.167,63458.669,63458.669
1783303680,63455.863,63465.66,63410.81,63451.075
1783303740,63448.869,63462.334,63442.926,63446.026
1783303800,63446.232,63449.579,63407.613,63431.61
1783303860,63431.6,63431.6,63386.722,63423.503
1783303920,63423.529,63426.63,63383.029,63400.475
1783303980,63400.447,63431.586,63399.894,63428.774
1783304040,63428.604,63439.142,63408.938,63428.836
1783304100,63425.545,63442.578,63411.155,63440.044
1783304160,63440.079,63465.45,63410.018,63461.528
1783304220,63461.508,63461.508,63420.776,63442.409
1783304280,63442.574,63480.216,63442.574,63480.067
1783304340,63480.773,63488.289,63430.655,63470.261
1783304400,63471.144,63526.254,63469.644,63525.107
1783304460,63525.097,63545.76,63518.81,63542.53
1783304520,63545.867,63628.531,63545.811,63607.795
1783304580,63607.879,63635.521,63573.328,63584.178
1783304640,63584.013,63596.698,63584.013,63589.495
1783304700,63584.798,63596.599,63560.205,63565.449
1783304760,63565.186,63581.538,63552.895,63581.538
1783304820,63581.476,63591.872,63551.004,63551.004
1783304880,63551.2,63565.733,63547.66,63553.088
1783304940,63553.113,63553.113,63489.158,63496.002
1783305000,63496.02,63514.558,63462.69,63499.226
1783305060,63500.327,63587.54,63482.119,63569.697
1783305120,63569.956,63604.862,63562.189,63562.189
1783305180,63557.181,63557.286,63483.73,63483.73
1783305240,63481.633,63487.89,63466.742,63487.182
